Debug    | 2021-12-14 12:07:27 周二 | :0,  | in CaptureThread::run() 

Warning  | 2021-12-14 12:07:28 周二 | :0,  | QObject: Cannot create children for a parent that is in a different thread.
(Parent is QApplication(0xb585b3f6f8), parent's thread is QThread(0x2598078e350), current thread is CaptureThread(0x25982a3d0d0)
Debug    | 2021-12-14 12:07:29 周二 | :0,  | between getImage and find the object time: 80
Debug    | 2021-12-14 12:07:29 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:07:29 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:07:29 周二 | :0,  | between getImage and find the object time: 75
Debug    | 2021-12-14 12:07:29 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:07:30 周二 | :0,  | between getImage and find the object time: 76
Debug    | 2021-12-14 12:07:30 周二 | :0,  | between getImage and find the object time: 75
Debug    | 2021-12-14 12:07:30 周二 | :0,  | between getImage and find the object time: 74
Debug    | 2021-12-14 12:07:30 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:07:30 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:07:30 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:07:30 周二 | :0,  | change camera mode ==> trigger
Debug    | 2021-12-14 12:07:31 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:07:32 周二 | :0,  | change camera mode ==> gogo
Debug    | 2021-12-14 12:07:32 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:07:32 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:07:33 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:07:33 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:07:33 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:07:33 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:07:33 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:07:33 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:07:33 周二 | :0,  | change camera mode ==> trigger
Debug    | 2021-12-14 12:07:33 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:07:35 周二 | :0,  | change camera mode ==> gogo
Debug    | 2021-12-14 12:07:36 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:07:36 周二 | :0,  | between getImage and find the object time: 69
Debug    | 2021-12-14 12:07:36 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:07:36 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:07:36 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:07:36 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:07:37 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:07:37 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:07:37 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:07:37 周二 | :0,  | change camera mode ==> trigger
Debug    | 2021-12-14 12:07:38 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:07:38 周二 | :0,  | emit image_process method!
Debug    | 2021-12-14 12:07:38 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:07:38 周二 | :0,  | markOK:  true
Debug    | 2021-12-14 12:07:38 周二 | :0,  | "192.168.1.106"
Debug    | 2021-12-14 12:07:38 周二 | :0,  | 2000
Debug    | 2021-12-14 12:07:38 周二 | :0,  | between find the object and send to laserMarking marchine time: 2
Debug    | 2021-12-14 12:08:04 周二 | :0,  | mv_ok
Debug    | 2021-12-14 12:08:04 周二 | :0,  | emit image_process method!
Debug    | 2021-12-14 12:08:04 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:08:04 周二 | :0,  | markOK:  false
Debug    | 2021-12-14 12:08:04 周二 | :0,  | mv_ok
Debug    | 2021-12-14 12:08:04 周二 | :0,  | emit image_process method!
Debug    | 2021-12-14 12:08:04 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:04 周二 | :0,  | markOK:  false
Debug    | 2021-12-14 12:08:05 周二 | :0,  | mv_ok
Debug    | 2021-12-14 12:08:05 周二 | :0,  | emit image_process method!
Debug    | 2021-12-14 12:08:05 周二 | :0,  | between getImage and find the object time: 69
Debug    | 2021-12-14 12:08:05 周二 | :0,  | markOK:  false
Debug    | 2021-12-14 12:08:18 周二 | :0,  | mv_ok
Debug    | 2021-12-14 12:08:18 周二 | :0,  | emit image_process method!
Debug    | 2021-12-14 12:08:18 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:08:18 周二 | :0,  | markOK:  false
Debug    | 2021-12-14 12:08:18 周二 | :0,  | mv_ok
Debug    | 2021-12-14 12:08:18 周二 | :0,  | emit image_process method!
Debug    | 2021-12-14 12:08:19 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:19 周二 | :0,  | markOK:  false
Debug    | 2021-12-14 12:08:19 周二 | :0,  | mv_ok
Debug    | 2021-12-14 12:08:19 周二 | :0,  | emit image_process method!
Debug    | 2021-12-14 12:08:19 周二 | :0,  | between getImage and find the object time: 69
Debug    | 2021-12-14 12:08:19 周二 | :0,  | markOK:  false
Debug    | 2021-12-14 12:08:20 周二 | :0,  | change camera mode ==> gogo
Debug    | 2021-12-14 12:08:21 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:08:21 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:21 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:08:21 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:21 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:08:21 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:21 周二 | :0,  | change camera mode ==> trigger
Debug    | 2021-12-14 12:08:22 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:08:23 周二 | :0,  | change camera mode ==> gogo
Debug    | 2021-12-14 12:08:24 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:08:25 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:25 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:25 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:25 周二 | :0,  | change camera mode ==> trigger
Debug    | 2021-12-14 12:08:25 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:08:26 周二 | :0,  | change camera mode ==> gogo
Debug    | 2021-12-14 12:08:27 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:08:27 周二 | :0,  | between getImage and find the object time: 83
Debug    | 2021-12-14 12:08:27 周二 | :0,  | between getImage and find the object time: 88
Debug    | 2021-12-14 12:08:27 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:28 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:28 周二 | :0,  | between getImage and find the object time: 78
Debug    | 2021-12-14 12:08:28 周二 | :0,  | between getImage and find the object time: 75
Debug    | 2021-12-14 12:08:28 周二 | :0,  | between getImage and find the object time: 74
Debug    | 2021-12-14 12:08:28 周二 | :0,  | between getImage and find the object time: 77
Debug    | 2021-12-14 12:08:28 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:28 周二 | :0,  | between getImage and find the object time: 74
Debug    | 2021-12-14 12:08:28 周二 | :0,  | between getImage and find the object time: 80
Debug    | 2021-12-14 12:08:28 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:28 周二 | :0,  | between getImage and find the object time: 76
Debug    | 2021-12-14 12:08:29 周二 | :0,  | between getImage and find the object time: 76
Debug    | 2021-12-14 12:08:29 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:29 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:29 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:29 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:29 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:29 周二 | :0,  | between getImage and find the object time: 79
Debug    | 2021-12-14 12:08:29 周二 | :0,  | between getImage and find the object time: 82
Debug    | 2021-12-14 12:08:29 周二 | :0,  | between getImage and find the object time: 81
Debug    | 2021-12-14 12:08:29 周二 | :0,  | between getImage and find the object time: 84
Debug    | 2021-12-14 12:08:30 周二 | :0,  | between getImage and find the object time: 78
Debug    | 2021-12-14 12:08:30 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:30 周二 | :0,  | between getImage and find the object time: 77
Debug    | 2021-12-14 12:08:30 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:30 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:30 周二 | :0,  | between getImage and find the object time: 83
